DBH,Boomsoort,Kroondiameter,Bron
75,Eik,15.90375571,Hasenauer (1997)
80,Eik,16.67397495,Hasenauer (1997)
85,Eik,17.43142899,Hasenauer (1997)
90,Eik,18.17706303,Hasenauer (1997)
95,Eik,18.91170393,Hasenauer (1997)
100,Eik,19.63608043,Hasenauer (1997)
5,Esdoorn,3.555827962,Hasenauer (1997)
10,Esdoorn,5.129028277,Hasenauer (1997)
15,Esdoorn,6.354762497,Hasenauer (1997)
20,Esdoorn,7.398257552,Hasenauer (1997)
25,Esdoorn,8.324274404,Hasenauer (1997)
30,Esdoorn,9.16629176,Hasenauer (1997)
35,Esdoorn,9.944319171,Hasenauer (1997)
40,Esdoorn,10.67145897,Hasenauer (1997)
45,Esdoorn,11.35685045,Hasenauer (1997)
50,Esdoorn,12.00717225,Hasenauer (1997)
55,Esdoorn,12.62748249,Hasenauer (1997)
60,Esdoorn,13.22172224,Hasenauer (1997)
65,Esdoorn,13.79303386,Hasenauer (1997)
70,Esdoorn,14.3439713,Hasenauer (1997)
75,Esdoorn,14.87664402,Hasenauer (1997)
80,Esdoorn,15.39281861,Hasenauer (1997)
85,Esdoorn,15.8939922,Hasenauer (1997)
90,Esdoorn,16.38144695,Hasenauer (1997)
95,Esdoorn,16.85629095,Hasenauer (1997)
100,Esdoorn,17.31948976,Hasenauer (1997)
5,Es,3.100971536,Hasenauer (1997)
10,Es,4.760193711,Hasenauer (1997)
15,Es,6.116484108,Hasenauer (1997)
20,Es,7.307208047,Hasenauer (1997)
25,Es,8.388241657,Hasenauer (1997)
30,Es,9.389202333,Hasenauer (1997)
35,Es,10.32813481,Hasenauer (1997)
40,Es,11.2170413,Hasenauer (1997)
45,Es,12.06440543,Hasenauer (1997)
50,Es,12.87649845,Hasenauer (1997)
55,Es,13.65811852,Hasenauer (1997)
60,Es,14.41303842,Hasenauer (1997)
65,Es,15.1442913,Hasenauer (1997)
70,Es,15.85436106,Hasenauer (1997)
75,Es,16.54531368,Hasenauer (1997)
80,Es,17.21889054,Hasenauer (1997)
85,Es,17.87657635,Hasenauer (1997)
90,Es,18.51964979,Hasenauer (1997)
95,Es,19.14922188,Hasenauer (1997)
100,Es,19.76626558,Hasenauer (1997)
5,Linde,2.97441261,Hasenauer (1997)
10,Linde,4.404886334,Hasenauer (1997)
15,Linde,5.542304777,Hasenauer (1997)
20,Linde,6.523312721,Hasenauer (1997)
25,Linde,7.402317707,Hasenauer (1997)
30,Linde,8.207745788,Hasenauer (1997)
35,Linde,8.956725269,Hasenauer (1997)
40,Linde,9.66054641,Hasenauer (1997)
45,Linde,10.32712884,Hasenauer (1997)
50,Linde,10.96228815,Hasenauer (1997)
55,Linde,11.57044786,Hasenauer (1997)
60,Linde,12.15506791,Hasenauer (1997)
65,Linde,12.71891669,Hasenauer (1997)
70,Linde,13.26425144,Hasenauer (1997)
75,Linde,13.79294206,Hasenauer (1997)
80,Linde,14.30655879,Hasenauer (1997)
85,Linde,14.80643579,Hasenauer (1997)
90,Linde,15.29371834,Hasenauer (1997)
95,Linde,15.76939851,Hasenauer (1997)
100,Linde,16.23434257,Hasenauer (1997)
